# dt=0.01, m=1.00, gamma=1.00, R=50.00
# t	 x	 y	 vx	 vy
4.12 13.967 15.151 -0.951 3.162
4.13 13.957 15.183 -0.908 2.874
4.14 13.948 15.212 -1.058 2.598
4.15 13.937 15.238 -0.834 2.632
4.16 13.929 15.265 -0.371 2.186
4.17 13.925 15.287 -0.164 2.187
4.18 13.923 15.309 0.373 1.868
4.19 13.927 15.327 0.441 1.685
4.2 13.932 15.344 0.093 1.468
4.21 13.933 15.359 0.451 1.585
4.22 13.937 15.375 0.237 1.611
4.23 13.94 15.391 -0.158 1.285
4.24 13.938 15.404 -0.039 1.667
4.25 13.938 15.421 -0.063 1.549
4.26 13.937 15.436 0.067 1.38
4.27 13.938 15.45 0.148 1.514
4.28 13.939 15.465 -0.335 1.109
4.29 13.936 15.477 -0.018 0.505
4.3 13.936 15.482 -0.222 0.875
4.31 13.933 15.49 -0.236 1.086
4.32 13.931 15.501 -0.52 1.511
4.33 13.926 15.517 -0.059 1.434
4.34 13.925 15.531 -0.332 1.298
4.35 13.922 15.544 -0.671 1.893
4.36 13.915 15.563 -0.696 2.059
4.37 13.908 15.584 -0.507 2.542
4.38 13.903 15.609 -0.276 2.344
4.39 13.9 15.633 -0.2 1.995
4.4 13.898 15.653 -0.572 2.035
4.41 13.892 15.673 -0.695 2.408
4.42 13.885 15.698 -0.771 2.318
4.43 13.878 15.721 -0.988 2.635
4.44 13.868 15.747 -1.134 3.206
4.45 13.856 15.78 -1.493 3.103
4.46 13.841 15.811 -1.631 2.856
4.47 13.825 15.839 -1.435 2.459
4.48 13.811 15.864 -1.388 2.718
4.49 13.797 15.891 -1.072 2.778
4.5 13.786 15.919 -1.236 2.83
4.51 13.773 15.948 -1.053 2.731
4.52 13.763 15.975 -0.624 2.811
4.53 13.757 16.004 -0.602 2.645
4.54 13.75 16.03 -0.36 2.524
4.55 13.747 16.055 -0.346 2.551
4.56 13.743 16.081 -0.192 1.969
4.57 13.741 16.101 -0.162 1.777
4.58 13.74 16.119 -0.618 2.26
4.59 13.734 16.141 -0.706 2.451
4.6 13.727 16.166 -0.99 2.077
4.61 13.717 16.187 -1.029 1.785
4.62 13.706 16.205 -0.695 1.946
4.63 13.699 16.224 -1.096 2.079
4.64 13.688 16.245 -0.873 2.148
4.65 13.679 16.267 -0.92 1.863
4.66 13.67 16.286 -0.578 1.795
4.67 13.664 16.304 -0.734 2.095
4.68 13.657 16.325 -0.36 2.236
4.69 13.653 16.347 -0.256 2.261
4.7 13.651 16.37 0.063 2.434
4.71 13.651 16.394 -0.141 2.259
4.72 13.65 16.417 -0.229 2.098
4.73 13.648 16.438 -0.37 2.215
4.74 13.644 16.46 -0.27 2.229
4.75 13.641 16.483 -0.007 2.438
4.76 13.641 16.507 -0.032 2.221
4.77 13.641 16.53 0.12 1.731
4.78 13.642 16.547 -0.037 1.969
4.79 13.642 16.567 -0.365 1.758
4.8 13.638 16.585 -0.172 1.763
4.81 13.636 16.602 -0.228 1.388
4.82 13.634 16.616 -0.589 1.15
4.83 13.628 16.628 -0.634 1.28
4.84 13.622 16.641 -0.682 1.112
4.85 13.615 16.652 -0.46 1.49
4.86 13.61 16.667 -0.348 1.112
4.87 13.607 16.678 -0.22 1.343
4.88 13.605 16.691 -0.423 1.359
4.89 13.6 16.705 -0.256 1.887
4.9 13.598 16.724 -0.865 1.575
4.91 13.589 16.74 -0.941 1.379
4.92 13.58 16.754 -1.209 1.138
4.93 13.567 16.765 -1.476 0.87
4.94 13.553 16.774 -1.847 0.689
4.95 13.534 16.781 -1.745 0.861
4.96 13.517 16.79 -1.552 0.982
4.97 13.501 16.799 -1.514 1.0
4.98 13.486 16.809 -1.474 0.731
4.99 13.471 16.817 -1.288 0.957
5.0 13.458 16.826 -1.368 1.09
5.01 13.444 16.837 -1.253 1.218
5.02 13.432 16.85 -1.169 1.183
5.03 13.42 16.861 -0.894 1.064
5.04 13.411 16.872 -1.46 1.257
5.05 13.396 16.885 -1.773 0.98
5.06 13.378 16.895 -1.378 1.028
5.07 13.365 16.905 -0.955 1.022
5.08 13.355 16.915 -0.639 0.841
5.09 13.349 16.924 -0.676 0.577
5.1 13.342 16.93 -0.879 0.68
5.11 13.333 16.936 -1.19 0.919
5.12 13.321 16.946 -1.438 0.628
5.13 13.306 16.952 -2.348 0.759
5.14 13.283 16.96 -2.301 0.989
5.15 13.26 16.969 -2.735 0.929
5.16 13.232 16.979 -2.317 1.099
5.17 13.209 16.99 -2.496 1.092
5.18 13.184 17.001 -2.548 1.373
5.19 13.158 17.015 -2.448 1.662
5.2 13.134 17.031 -2.534 1.547
5.21 13.108 17.047 -2.788 1.641
5.22 13.08 17.063 -3.231 1.773
5.23 13.048 17.081 -2.954 1.701
5.24 13.018 17.098 -3.552 1.753
5.25 12.982 17.116 -3.872 2.584
5.26 12.943 17.142 -3.202 2.541
5.27 12.911 17.167 -3.246 2.343
5.28 12.879 17.191 -3.237 2.087
5.29 12.846 17.212 -3.58 1.701
5.3 12.81 17.229 -3.738 1.78
5.31 12.773 17.247 -3.312 2.239
5.32 12.739 17.269 -3.734 2.362
5.33 12.702 17.293 -4.098 2.606
5.34 12.661 17.319 -3.835 2.767
5.35 12.622 17.347 -3.98 2.739
5.36 12.582 17.375 -4.258 2.305
5.37 12.539 17.398 -4.105 1.666
5.38 12.498 17.415 -4.094 1.749
5.39 12.457 17.432 -4.081 1.67
5.4 12.416 17.449 -3.953 1.615
5.41 12.376 17.465 -3.761 1.801
5.42 12.338 17.483 -3.405 1.852
5.43 12.304 17.502 -3.166 1.688
5.44 12.272 17.519 -3.188 1.617
5.45 12.24 17.535 -2.855 1.599
5.46 12.211 17.551 -3.051 1.939
5.47 12.181 17.571 -3.198 2.099
5.48 12.149 17.592 -3.527 2.294
5.49 12.113 17.615 -4.083 2.059
5.5 12.072 17.636 -3.859 2.263
5.51 12.033 17.658 -4.016 1.741
5.52 11.993 17.676 -3.954 1.479
5.53 11.953 17.691 -4.287 1.552
5.54 11.91 17.706 -3.636 1.819
5.55 11.874 17.724 -3.508 1.612
5.56 11.838 17.741 -3.737 1.874
5.57 11.801 17.76 -3.568 1.851
5.58 11.765 17.778 -3.652 1.292
5.59 11.728 17.791 -3.582 1.366
5.6 11.692 17.805 -3.594 1.549
5.61 11.656 17.82 -3.352 1.182
5.62 11.623 17.832 -3.164 1.267
5.63 11.591 17.845 -2.77 1.312
5.64 11.563 17.858 -3.102 1.352
5.65 11.532 17.872 -3.484 1.098
5.66 11.497 17.883 -3.475 0.586
5.67 11.462 17.889 -3.443 0.24
